Into_the_Storm|Into the Storm is Chipmunk's first map in the CM series. Fight through vastly changing environments, brutal mobs, and and endless storm of mobs. Can you defeat them all?|1.7.4|Moderate|Chimarian_Memories|http://i.imgur.com/AxXYvWr.png|http://www.minecraftforum.net/forums/mapping-and-modding/maps/1554519-ctm-chimarian-memories-ctm-series-new-minimap
Hikaro_Jungle|The Hikaro Jungle has lied dormant for centuries. With the approaching Storm, the entire jungle is alive, and deadly. Can you survive?|1.7.4|Moderate|Chimarian_Memories|https://i.imgur.com/ISATds1.png|https://www.minecraftforum.net/forums/mapping-and-modding-java-edition/maps/1554519-ctm-chimarian-memories-ctm-series-new-minimap
Archangel_Rising|After escaping the Hikaro, you end up in the ancient realm of Corralia. Fight using immense amounts of powerful loot against insane enemies and intense environments.|map version|map length|Chimarian_Memories|image link|download link
Blood_of_the_Oracle|Now fighting against a ruthless fallen angel alongside an archangel, you must complete the monument and find the prophecy that will foretell Chimaria's fate in the war to come. Are you up to the task?|map version|map length|Chimarian_Memories|image link|download link
Goliath|From forests to deserts. Go diving in the deepest oceans or go spelunking in the darkest caves. This map is an environment based map. It is extremely vast so that explains its name. It starts off relatively easy, but it gets harder and harder over time. But be wary, the map has a fair amount of traps|map version|map length|Untold_Stories|image link|download link
Bigleaf_Forest|map description|map version|map length|Untold_Stories|image link|download link
Myriad_Caves|map description|map version|map length|Untold_Stories|image link|download link
Corona_Trials|This map is recommended way too frequently!|1.10|long|Untold_Stories|image link|http://www.mediafire.com/file/fqad8fh70imz1wj/Untold_Stories_4_-_Corona_Trials_1.2.2.zip/file
Calamity_Canyon|map description|map version|map length|Untold_Stories|image link|download link
The_Corrupted_Path|The Corrupted Path is the first in Heliceo's brutally difficult Ragecraft series. Fight through ruthless caverns, battle myriads of mobs, and complete one of the most satisfying monuments you've ever seen.|1.5.2|Long|Ragecraft|https://ctmrepository.com/map_img/16.jpg|https://ctmrepository.com/index.php?action=viewMap&id=21
Insomnia|Insomnia is the second map of Heliceo's Ragecraft series and is commonly seen as one of the greatest CTM maps ever. Fight through vast landscapes in the hopes of completing the monument, at the threat of your very sanity.|1.7.2|Long|Ragecraft|https://ctmrepository.com/map_img/18.jpg|https://ctmrepository.com/index.php?action=viewMap&id=23
The_Prophecy|The third and final installment on the Ragecraft series builds on the many themes and mechanics introduced in the previous two, while offering a whole new experience taking full advantage of the 1.8 commands. Featuring 16 action packed areas, dozens of items with unique custom abilities, five breathtaking boss battles, and much more.|1.8.8|Long|Ragecraft|https://ctmrepository.com/map_img/19.jpg|https://ctmrepository.com/index.php?action=viewMap&id=24
